protocol,degradation,setting,threshold,fpr,tpr,f1,bacc
infrastructure_airport,blur,PatchCore-AC (q95),1.0,0.04285714285714286,0.3900709219858156,0.5445544554455445,0.6736068895643363
infrastructure_airport,blur,DRA-Inspect-AC (q90),0.7479324926022815,0.04285714285714286,0.44680851063829785,0.6,0.7019756838905775
infrastructure_airport,blur,DRA-Inspect-AC (q92.5),0.8047942743876585,0.02857142857142857,0.41843971631205673,0.5784313725490197,0.694934143870314
infrastructure_airport,blur,DRA-Inspect-AC (q95),1.0,0.0,0.3120567375886525,0.4756756756756757,0.6560283687943262
infrastructure_airport,blur,DRA-Inspect-AC (matched-FPR),0.9408389329910278,0.007142857142857143,0.3333333333333333,0.49735449735449727,0.6630952380952381
infrastructure_airport,blur,DRA-Inspect-AC (q97.5),1.1404692537402217,0.0,0.24113475177304963,0.38857142857142857,0.6205673758865248
infrastructure_airport,jpeg,PatchCore-AC (q95),1.0,0.09285714285714286,0.5531914893617021,0.6724137931034483,0.7301671732522796
infrastructure_airport,jpeg,DRA-Inspect-AC (q90),0.7479324926022815,0.2,0.6808510638297872,0.7245283018867924,0.7404255319148936
infrastructure_airport,jpeg,DRA-Inspect-AC (q92.5),0.8047942743876585,0.17142857142857143,0.6453900709219859,0.7109375,0.7369807497467071
infrastructure_airport,jpeg,DRA-Inspect-AC (q95),1.0,0.07857142857142857,0.5531914893617021,0.6782608695652174,0.7373100303951368
infrastructure_airport,jpeg,DRA-Inspect-AC (matched-FPR),0.9408389329910278,0.11428571428571428,0.5886524822695035,0.6916666666666667,0.7371833839918946
infrastructure_airport,jpeg,DRA-Inspect-AC (q97.5),1.1404692537402217,0.05,0.524822695035461,0.6666666666666666,0.7374113475177304
infrastructure_airport,light,PatchCore-AC (q95),1.0,0.007142857142857143,0.3262411347517731,0.4893617021276596,0.659549138804458
infrastructure_airport,light,DRA-Inspect-AC (q90),0.7479324926022815,0.05714285714285714,0.524822695035461,0.663677130044843,0.7338399189463019
infrastructure_airport,light,DRA-Inspect-AC (q92.5),0.8047942743876585,0.04285714285714286,0.48226950354609927,0.6325581395348837,0.7197061803444782
infrastructure_airport,light,DRA-Inspect-AC (q95),1.0,0.007142857142857143,0.3262411347517731,0.4893617021276596,0.659549138804458
infrastructure_airport,light,DRA-Inspect-AC (matched-FPR),0.9408389329910278,0.014285714285714285,0.36879432624113473,0.5333333333333333,0.6772543059777103
infrastructure_airport,light,DRA-Inspect-AC (q97.5),1.1404692537402217,0.0,0.2624113475177305,0.41573033707865165,0.6312056737588653
infrastructure_airport,lowres,PatchCore-AC (q95),1.0,0.03571428571428571,0.41134751773049644,0.5686274509803921,0.6878166160081054
infrastructure_airport,lowres,DRA-Inspect-AC (q90),0.7479324926022815,0.03571428571428571,0.46099290780141844,0.6161137440758294,0.7126393110435664
infrastructure_airport,lowres,DRA-Inspect-AC (q92.5),0.8047942743876585,0.02142857142857143,0.41134751773049644,0.5742574257425742,0.6949594731509625
infrastructure_airport,lowres,DRA-Inspect-AC (q95),1.0,0.007142857142857143,0.2978723404255319,0.4565217391304347,0.6453647416413374
infrastructure_airport,lowres,DRA-Inspect-AC (matched-FPR),0.9408389329910278,0.007142857142857143,0.3333333333333333,0.49735449735449727,0.6630952380952381
infrastructure_airport,lowres,DRA-Inspect-AC (q97.5),1.1404692537402217,0.0,0.24822695035460993,0.3977272727272727,0.624113475177305
infrastructure_airport,noise,PatchCore-AC (q95),1.0,0.06428571428571428,0.5177304964539007,0.6547085201793722,0.7267223910840932
infrastructure_airport,noise,DRA-Inspect-AC (q90),0.7479324926022815,0.12857142857142856,0.6382978723404256,0.7228915662650603,0.7548632218844985
infrastructure_airport,noise,DRA-Inspect-AC (q92.5),0.8047942743876585,0.1,0.5957446808510638,0.702928870292887,0.7478723404255319
infrastructure_airport,noise,DRA-Inspect-AC (q95),1.0,0.06428571428571428,0.5106382978723404,0.6486486486486487,0.7231762917933131
infrastructure_airport,noise,DRA-Inspect-AC (matched-FPR),0.9408389329910278,0.07857142857142857,0.5319148936170213,0.6607929515418502,0.7266717325227964
infrastructure_airport,noise,DRA-Inspect-AC (q97.5),1.1404692537402217,0.04285714285714286,0.41843971631205673,0.5728155339805825,0.6877912867274569
urban_dense,blur,PatchCore-AC (q95),1.0,0.02142857142857143,0.2,0.3274853801169591,0.5892857142857143
urban_dense,blur,DRA-Inspect-AC (q90),0.7513755390685286,0.02142857142857143,0.22142857142857142,0.3563218390804597,0.6
urban_dense,blur,DRA-Inspect-AC (q92.5),0.864154834212703,0.014285714285714285,0.19285714285714287,0.31952662721893493,0.5892857142857143
urban_dense,blur,DRA-Inspect-AC (q95),1.0,0.014285714285714285,0.1357142857142857,0.23602484472049687,0.5607142857142857
urban_dense,blur,DRA-Inspect-AC (matched-FPR),0.9408389329910278,0.014285714285714285,0.17142857142857143,0.2891566265060241,0.5785714285714286
urban_dense,blur,DRA-Inspect-AC (q97.5),1.1471562152766015,0.007142857142857143,0.07857142857142857,0.14473684210526314,0.5357142857142857
urban_dense,jpeg,PatchCore-AC (q95),1.0,0.06428571428571428,0.30714285714285716,0.44791666666666663,0.6214285714285714
urban_dense,jpeg,DRA-Inspect-AC (q90),0.7513755390685286,0.15,0.5142857142857142,0.6180257510729613,0.6821428571428572
urban_dense,jpeg,DRA-Inspect-AC (q92.5),0.864154834212703,0.12142857142857143,0.4785714285714286,0.5982142857142857,0.6785714285714286
urban_dense,jpeg,DRA-Inspect-AC (q95),1.0,0.08571428571428572,0.35714285714285715,0.495049504950495,0.6357142857142857
urban_dense,jpeg,DRA-Inspect-AC (matched-FPR),0.9408389329910278,0.09285714285714286,0.38571428571428573,0.5217391304347826,0.6464285714285715
urban_dense,jpeg,DRA-Inspect-AC (q97.5),1.1471562152766015,0.05,0.2642857142857143,0.40217391304347827,0.6071428571428571
urban_dense,light,PatchCore-AC (q95),1.0,0.02142857142857143,0.12857142857142856,0.22360248447204967,0.5535714285714286
urban_dense,light,DRA-Inspect-AC (q90),0.7513755390685286,0.02857142857142857,0.2714285714285714,0.41758241758241754,0.6214285714285714
urban_dense,light,DRA-Inspect-AC (q92.5),0.864154834212703,0.02142857142857143,0.22142857142857142,0.3563218390804597,0.6
urban_dense,light,DRA-Inspect-AC (q95),1.0,0.02142857142857143,0.14285714285714285,0.24539877300613494,0.5607142857142857
urban_dense,light,DRA-Inspect-AC (matched-FPR),0.9408389329910278,0.02142857142857143,0.17142857142857143,0.2874251497005988,0.575
urban_dense,light,DRA-Inspect-AC (q97.5),1.1471562152766015,0.007142857142857143,0.08571428571428572,0.15686274509803924,0.5392857142857143
urban_dense,lowres,PatchCore-AC (q95),1.0,0.03571428571428571,0.2,0.3236994219653179,0.5821428571428572
urban_dense,lowres,DRA-Inspect-AC (q90),0.7513755390685286,0.02142857142857143,0.2357142857142857,0.375,0.6071428571428571
urban_dense,lowres,DRA-Inspect-AC (q92.5),0.864154834212703,0.014285714285714285,0.17857142857142858,0.29940119760479045,0.5821428571428572
urban_dense,lowres,DRA-Inspect-AC (q95),1.0,0.014285714285714285,0.12857142857142856,0.225,0.5571428571428572
urban_dense,lowres,DRA-Inspect-AC (matched-FPR),0.9408389329910278,0.014285714285714285,0.14285714285714285,0.24691358024691357,0.5642857142857143
urban_dense,lowres,DRA-Inspect-AC (q97.5),1.1471562152766015,0.007142857142857143,0.08571428571428572,0.15686274509803924,0.5392857142857143
urban_dense,noise,PatchCore-AC (q95),1.0,0.04285714285714286,0.22142857142857142,0.3502824858757062,0.5892857142857143
urban_dense,noise,DRA-Inspect-AC (q90),0.7513755390685286,0.09285714285714286,0.44285714285714284,0.5767441860465117,0.675
urban_dense,noise,DRA-Inspect-AC (q92.5),0.864154834212703,0.05,0.35,0.4999999999999999,0.6499999999999999
urban_dense,noise,DRA-Inspect-AC (q95),1.0,0.04285714285714286,0.24285714285714285,0.3777777777777778,0.6
urban_dense,noise,DRA-Inspect-AC (matched-FPR),0.9408389329910278,0.04285714285714286,0.29285714285714287,0.4385026737967915,0.625
urban_dense,noise,DRA-Inspect-AC (q97.5),1.1471562152766015,0.02142857142857143,0.18571428571428572,0.3076923076923077,0.5821428571428571
vegetation_forest,blur,PatchCore-AC (q95),1.0,0.04285714285714286,0.22142857142857142,0.3502824858757062,0.5892857142857143
vegetation_forest,blur,DRA-Inspect-AC (q90),0.7346667001198794,0.08571428571428572,0.39285714285714285,0.5314009661835748,0.6535714285714286
vegetation_forest,blur,DRA-Inspect-AC (q92.5),0.8077909050047594,0.05714285714285714,0.32142857142857145,0.46632124352331605,0.6321428571428571
vegetation_forest,blur,DRA-Inspect-AC (q95),1.0,0.03571428571428571,0.17857142857142858,0.29411764705882354,0.5714285714285714
vegetation_forest,blur,DRA-Inspect-AC (matched-FPR),0.9408389329910278,0.04285714285714286,0.2,0.3218390804597701,0.5785714285714286
vegetation_forest,blur,DRA-Inspect-AC (q97.5),1.224119409562965,0.02857142857142857,0.05714285714285714,0.10526315789473684,0.5142857142857142
vegetation_forest,jpeg,PatchCore-AC (q95),1.0,0.05,0.29285714285714287,0.43617021276595747,0.6214285714285714
vegetation_forest,jpeg,DRA-Inspect-AC (q90),0.7346667001198794,0.11428571428571428,0.5214285714285715,0.6375545851528385,0.7035714285714285
vegetation_forest,jpeg,DRA-Inspect-AC (q92.5),0.8077909050047594,0.1,0.4785714285714286,0.6063348416289593,0.6892857142857143
vegetation_forest,jpeg,DRA-Inspect-AC (q95),1.0,0.05714285714285714,0.3357142857142857,0.48205128205128206,0.6392857142857142
vegetation_forest,jpeg,DRA-Inspect-AC (matched-FPR),0.9408389329910278,0.07142857142857142,0.39285714285714285,0.5365853658536585,0.6607142857142857
vegetation_forest,jpeg,DRA-Inspect-AC (q97.5),1.224119409562965,0.04285714285714286,0.16428571428571428,0.27218934911242604,0.5607142857142857
