protocol,degradation,setting,threshold,fpr,tpr,f1,bacc
urban_residential,blur,PaDiM-AC (q90),0.7471370272531966,0.08666666666666667,0.8166666666666667,0.8581436077057792,0.865
urban_residential,blur,PaDiM-AC (q92.5),0.8455888773311704,0.06333333333333334,0.7783333333333333,0.8452488687782806,0.8574999999999999
urban_residential,blur,PaDiM-AC (q95),1.0,0.03333333333333333,0.69,0.8007736943907157,0.8283333333333334
urban_residential,blur,PaDiM-AC (matched-FPR),0.980016827583313,0.035,0.7066666666666667,0.8114832535885168,0.8358333333333333
urban_residential,blur,PaDiM-AC (q97.5),1.2357789702131816,0.01,0.57,0.721518987341772,0.78
urban_residential,jpeg,PaDiM-AC (q90),0.7471370272531966,0.15,0.9166666666666666,0.8870967741935484,0.8833333333333333
urban_residential,jpeg,PaDiM-AC (q92.5),0.8455888773311704,0.12333333333333334,0.8916666666666667,0.8850289495450787,0.8841666666666668
urban_residential,jpeg,PaDiM-AC (q95),1.0,0.085,0.8383333333333334,0.8717504332755633,0.8766666666666667
urban_residential,jpeg,PaDiM-AC (matched-FPR),0.980016827583313,0.08833333333333333,0.8516666666666667,0.8780068728522337,0.8816666666666666
urban_residential,jpeg,PaDiM-AC (q97.5),1.2357789702131816,0.03666666666666667,0.7183333333333334,0.8186134852801519,0.8408333333333333
urban_residential,light,PaDiM-AC (q90),0.7471370272531966,0.04,0.7816666666666666,0.8581884720951509,0.8708333333333333
urban_residential,light,PaDiM-AC (q92.5),0.8455888773311704,0.035,0.7466666666666667,0.8381665107577175,0.8558333333333333
urban_residential,light,PaDiM-AC (q95),1.0,0.016666666666666666,0.6716666666666666,0.7956564659427443,0.8274999999999999
urban_residential,light,PaDiM-AC (matched-FPR),0.980016827583313,0.018333333333333333,0.685,0.8043052837573387,0.8333333333333334
urban_residential,light,PaDiM-AC (q97.5),1.2357789702131816,0.01,0.505,0.6666666666666667,0.7475
urban_residential,lowres,PaDiM-AC (q90),0.7471370272531966,0.11666666666666667,0.85,0.864406779661017,0.8666666666666667
urban_residential,lowres,PaDiM-AC (q92.5),0.8455888773311704,0.08833333333333333,0.8133333333333334,0.855390008764242,0.8625
urban_residential,lowres,PaDiM-AC (q95),1.0,0.05333333333333334,0.7483333333333333,0.8307123034227567,0.8474999999999999
urban_residential,lowres,PaDiM-AC (matched-FPR),0.980016827583313,0.058333333333333334,0.755,0.8327205882352942,0.8483333333333334
