setting,bank_vectors,auc,fpr,tpr,f1,bacc
Clean-only,37632,0.9581683333333333,0.05355555555555556,0.7261111111111112,0.8121606356705932,0.8362777777777778
Mixed-equal,37632,0.959382962962963,0.04077777777777778,0.643,0.7345070270580876,0.8011111111111111
Mixed-full,225792,0.9621572222222222,0.042666666666666665,0.6545555555555556,0.7387597919297034,0.8059444444444445
