ratio,retrieval,auc,fpr,tpr,f1,bacc,avg_inference_ms,speedup
0.10,Exact,0.9621877777777778,0.04266666666666667,0.6554444444444445,0.7394873091896091,0.8063888888888889,505.42764850123785,1.0
0.10,Approx. IVF,0.9248842592592593,0.04155555555555556,0.4671111111111111,0.5917958470116282,0.7127777777777777,37.396404260717745,13.51540765731195
0.02,Exact,0.9592725925925923,0.042555555555555555,0.6363333333333334,0.7284785704960446,0.7968888888888889,97.78429853619956,1.0
0.02,Approx. IVF,0.9361842592592594,0.03988888888888889,0.492,0.6084009742598667,0.7260555555555556,35.483542143936376,2.7557648596508417
