family,method,auc,fpr,tpr,f1,bacc
haze,PatchCore-AC,0.9660620370370371,0.01888888888888889,0.5883333333333334,0.7256100488517546,0.7847222222222222
haze,DRA-Inspect-AC,0.966500925925926,0.03888888888888889,0.7416666666666667,0.8270366529590559,0.8513888888888889
haze,PatchCore-CF,0.9660620370370371,0.017777777777777778,0.5672222222222222,0.7078833664851335,0.7747222222222222
haze,DRA-Inspect-CF,0.966500925925926,0.015555555555555555,0.5516666666666666,0.6915419294691457,0.7680555555555555
cloudveil,PatchCore-AC,0.965262962962963,0.021666666666666667,0.6361111111111111,0.7625292532784963,0.8072222222222223
cloudveil,DRA-Inspect-AC,0.9652222222222222,0.050555555555555555,0.7938888888888889,0.8572969790553852,0.8716666666666667
cloudveil,PatchCore-CF,0.965262962962963,0.021111111111111112,0.6255555555555555,0.7541738041156766,0.8022222222222222
cloudveil,DRA-Inspect-CF,0.9652222222222222,0.022222222222222223,0.6233333333333333,0.7489943333014647,0.8005555555555556
