family,method,threshold,fpr,tpr,f1,bacc
haze,PatchCore-AC (q95),1.0,0.01888888888888889,0.5883333333333334,0.732111994469409,0.7847222222222223
haze,DRA-Inspect-AC (q95),1.0,0.03888888888888889,0.7416666666666667,0.8330733229329174,0.851388888888889
haze,DRA-Inspect-AC (matched FPR),1.1172481775283813,0.01888888888888889,0.5905555555555555,0.7338626164998274,0.7858333333333334
cloudveil,PatchCore-AC (q95),1.0,0.021666666666666667,0.6361111111111111,0.7674262734584449,0.8072222222222222
cloudveil,DRA-Inspect-AC (q95),1.0,0.050555555555555555,0.7938888888888889,0.8608433734939758,0.8716666666666666
cloudveil,DRA-Inspect-AC (matched FPR),1.163028597831726,0.021666666666666667,0.5972222222222222,0.7378174330816747,0.7877777777777777
