protocol,normal_class,anomaly_classes,degradation,memory,threshold,method,auc,gap,fpr,tpr,f1,bacc,file
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",noise,mixed,clean_fixed,DRA-Inspect-CF,0.9714194444444444,1.0703682899475098,0.006666666666666667,0.7133333333333334,0.8294573643410852,0.8533333333333333,eurosat_forest_vegetation_forest_noise_mixed_cal__core0p05__core005.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",noise,mixed,corruption_agnostic,DRA-Inspect-AC,0.9714194444444444,1.555535078048706,0.02666666666666667,0.8083333333333333,0.8810172570390554,0.8908333333333334,eurosat_forest_vegetation_forest_noise_mixed_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",blur,clean,clean_fixed,PatchCore-CF,0.9441222222222222,0.4665842056274414,0.055,0.6883333333333334,0.7896749521988528,0.8166666666666667,eurosat_residential_urban_residential_blur_clean_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",blur,clean,corruption_agnostic,PatchCore-AC,0.9441222222222222,1.2476377487182617,0.04833333333333333,0.65,0.7654563297350345,0.8008333333333333,eurosat_residential_urban_residential_blur_clean_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",blur,mixed,clean_fixed,DRA-Inspect-CF,0.9471777777777778,0.5257875919342041,0.0,0.09833333333333333,0.17905918057663125,0.5491666666666667,eurosat_residential_urban_residential_blur_mixed_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",blur,mixed,corruption_agnostic,DRA-Inspect-AC,0.9471777777777778,1.0837898254394531,0.0016666666666666668,0.17833333333333334,0.30225988700564965,0.5883333333333334,eurosat_residential_urban_residential_blur_mixed_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",jpeg,clean,clean_fixed,PatchCore-CF,0.9351805555555556,0.46554994583129883,0.11666666666666667,0.8216666666666667,0.8478073946689597,0.8525,eurosat_residential_urban_residential_jpeg_clean_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",jpeg,clean,corruption_agnostic,PatchCore-AC,0.9351805555555556,1.2448707818984985,0.1,0.7983333333333333,0.8410886742756805,0.8491666666666666,eurosat_residential_urban_residential_jpeg_clean_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",jpeg,mixed,clean_fixed,DRA-Inspect-CF,0.9270527777777777,0.4833707809448242,0.06833333333333333,0.6783333333333333,0.7767175572519085,0.8049999999999999,eurosat_residential_urban_residential_jpeg_mixed_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",jpeg,mixed,corruption_agnostic,DRA-Inspect-AC,0.9270527777777777,0.9963551759719849,0.13,0.825,0.8439897698209717,0.8474999999999999,eurosat_residential_urban_residential_jpeg_mixed_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",light,clean,clean_fixed,PatchCore-CF,0.9596944444444444,0.5299177169799805,0.018333333333333333,0.5766666666666667,0.723092998955068,0.7791666666666667,eurosat_residential_urban_residential_light_clean_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",light,clean,corruption_agnostic,PatchCore-AC,0.9596944444444444,1.416988730430603,0.016666666666666666,0.5433333333333333,0.6965811965811965,0.7633333333333333,eurosat_residential_urban_residential_light_clean_cal__core0p05__core005.json
urban_residential,Residential,"Industrial,Highway",light,mixed,clean_fixed,DRA-Inspect-CF,0.9562527777777777,0.5252315998077393,0.015,0.4866666666666667,0.6481687014428413,0.7358333333333333,eurosat_residential_urban_residential_light_mixed_cal__core0p05__core005.json
