protocol,degradation,setting,threshold,fpr,tpr,f1,bacc
urban_residential,blur,PatchCore-AC (q95),1.0,0.05,0.6566666666666666,0.7695312499999999,0.8033333333333332
urban_residential,blur,DRA-Inspect-AC (q90),0.7933557148338343,0.0016666666666666668,0.25666666666666665,0.4079470198675496,0.6275
urban_residential,blur,DRA-Inspect-AC (q92.5),0.8685278621257373,0.0016666666666666668,0.21666666666666667,0.35567715458276333,0.6074999999999999
urban_residential,blur,DRA-Inspect-AC (q95),1.0,0.0,0.16833333333333333,0.2881597717546362,0.5841666666666667
urban_residential,blur,DRA-Inspect-AC (q95),0.9999999794464975,0.0,0.16833333333333333,0.2881597717546362,0.5841666666666667
urban_residential,blur,DRA-Inspect-AC (matched-FPR),0.9392449259757996,0.0016666666666666668,0.18666666666666668,0.3141654978962132,0.5925
urban_residential,blur,DRA-Inspect-AC (q97.5),1.2039049557619956,0.0,0.09666666666666666,0.1762917933130699,0.5483333333333333
urban_residential,jpeg,PatchCore-AC (q95),1.0,0.10833333333333334,0.7983333333333333,0.8374125874125874,0.845
urban_residential,jpeg,DRA-Inspect-AC (q90),0.7933557148338343,0.23333333333333334,0.91,0.849144634525661,0.8383333333333334
urban_residential,jpeg,DRA-Inspect-AC (q92.5),0.8685278621257373,0.18166666666666667,0.885,0.8564516129032258,0.8516666666666667
urban_residential,jpeg,DRA-Inspect-AC (q95),1.0,0.12166666666666667,0.8183333333333334,0.8436426116838487,0.8483333333333334
urban_residential,jpeg,DRA-Inspect-AC (q95),0.9999999794464975,0.12166666666666667,0.8183333333333334,0.8436426116838487,0.8483333333333334
urban_residential,jpeg,DRA-Inspect-AC (matched-FPR),0.9392449259757996,0.14833333333333334,0.8533333333333334,0.852622814321399,0.8525
urban_residential,jpeg,DRA-Inspect-AC (q97.5),1.2039049557619956,0.06666666666666667,0.6883333333333334,0.7844254510921177,0.8108333333333333
urban_residential,light,PatchCore-AC (q95),1.0,0.016666666666666666,0.545,0.6979722518676628,0.7641666666666667
urban_residential,light,DRA-Inspect-AC (q90),0.7933557148338343,0.06166666666666667,0.8133333333333334,0.8675555555555556,0.8758333333333334
