method,auc,auc_low,auc_high,fpr,fpr_low,fpr_high,tpr,tpr_low,tpr_high,f1,f1_low,f1_high,bacc,bacc_low,bacc_high
PatchCore-CF,0.9581683333333335,0.9553674973994013,0.9609345752719752,0.05733333333333333,0.05259860790840217,0.06188146484220649,0.7147777777777777,0.705071382970114,0.7241150406011121,0.8003817620956255,0.7932114795686915,0.8068030325004536,0.8287222222222222,0.8235222914139019,0.8335566216987131
PatchCore-AC,0.9581683333333335,0.9552121578100734,0.9608837576070448,0.05355555555555556,0.049185875855121214,0.05823589232973382,0.726111111111111,0.717077813068598,0.7344477278357444,0.8121606356705932,0.8051363896452834,0.8186901524214973,0.8362777777777778,0.8311579323822471,0.8413575035245882
DRA-Inspect-CF,0.9621572222222222,0.9594629998281683,0.9644453669073527,0.022111111111111116,0.019269033326661376,0.025467045158586294,0.5055555555555555,0.4962314543576576,0.514464660550159,0.619839138197218,0.610651471133069,0.6284728313278136,0.7417222222222223,0.7368183268252406,0.7465617379700481
DRA-Inspect-AC,0.9621572222222222,0.9592354264561218,0.9646458771390785,0.04266666666666667,0.03900919537933947,0.04693861587498756,0.6545555555555556,0.6458109713910509,0.6634114871456936,0.7387597919297033,0.7310672947658268,0.7461987054498352,0.8059444444444445,0.8010859099407991,0.8107307914479823
