comparison,delta_auc,delta_auc_low,delta_auc_high,delta_fpr,delta_fpr_low,delta_fpr_high,delta_tpr,delta_tpr_low,delta_tpr_high,delta_f1,delta_f1_low,delta_f1_high,delta_bacc,delta_bacc_low,delta_bacc_high
DRA-CF - PatchCore-CF,0.003988888888888709,0.0030649934005141026,0.005058693195137278,-0.03522222222222222,-0.03868294790536088,-0.03148134890769356,-0.2092222222222222,-0.21667627694666255,-0.2020594864516146,-0.18054262389840747,-0.18808693084794473,-0.17341722832436404,-0.08699999999999997,-0.09144881968281236,-0.0829838510681925
DRA-AC - PatchCore-AC,0.003988888888888709,0.0030654370302940427,0.00499175182599012,-0.010888888888888885,-0.014371122975280076,-0.0071756226978739075,-0.07155555555555548,-0.07926800777000717,-0.06446957352252702,-0.07340084374088984,-0.07969528729064741,-0.06736987524420887,-0.030333333333333323,-0.03442048998876005,-0.02643799586236537
