method,num_seeds,auc_mean,auc_std,fpr_mean,fpr_std,tpr_mean,tpr_std,f1_mean,f1_std,bacc_mean,bacc_std
PatchCore-CF,3,0.9593148765432099,0.0012792864803459422,0.05355555555555556,0.005404616225340138,0.7164814814814815,0.011957515099406651,0.8022170825864482,0.0067989210081173005,0.831462962962963,0.004388146522619556
PatchCore-AC,3,0.9593148765432099,0.0012792864803459422,0.050333333333333334,0.0029993140505226467,0.7349629629629629,0.0115364276635929,0.8190503465175892,0.007836417193382662,0.8423148148148148,0.006105609195554039
DRA-Inspect-CF,3,0.9631478395061729,0.0010647993056662637,0.019592592592592592,0.0015108205966200842,0.5131481481481481,0.013423869574322515,0.628431697951337,0.011643418728854263,0.7467777777777778,0.0072317600837877105
DRA-Inspect-AC,3,0.9631478395061729,0.0010647993056662637,0.04092592592592593,0.002700911800519187,0.664074074074074,0.01112307997333825,0.7470634522650191,0.009282327224854744,0.8115740740740741,0.006846394222844232
