setting,method,threshold,fpr,tpr,f1,bacc
mild,PatchCore-AC (q95),1.0,0.04111111111111111,0.7302222222222222,0.8244887717977669,0.8445555555555555
mild,DRA-Inspect-AC (q95),1.0,0.05366666666666667,0.7681111111111111,0.8432544523054404,0.8572222222222222
mild,DRA-Inspect-AC (matched FPR),1.0755159211526228,0.04111111111111111,0.6933333333333334,0.7994875080076874,0.8261111111111111
severe,PatchCore-AC (q95),1.0,0.09133333333333334,0.7131111111111111,0.7903940886699508,0.8108888888888889
severe,DRA-Inspect-AC (q95),1.0,0.03188888888888889,0.5468888888888889,0.6928003378140615,0.7575000000000001
severe,DRA-Inspect-AC (matched FPR),0.6964913480331025,0.09133333333333334,0.768,0.8261025457153102,0.8383333333333334
