setting,method,auc,fpr,tpr,f1,bacc
mild,PatchCore-AC,0.9625312962962963,0.04111111111111111,0.7302222222222222,0.8208021507468524,0.8445555555555555
mild,DRA-Inspect-AC,0.9623725925925926,0.05366666666666667,0.7681111111111111,0.8272408649501551,0.8572222222222222
mild,PatchCore-CF,0.9625312962962963,0.044,0.7172222222222222,0.8095438539732557,0.8366111111111111
mild,DRA-Inspect-CF,0.9623725925925926,0.029444444444444443,0.6178888888888889,0.7253417714042305,0.7942222222222223
severe,PatchCore-AC,0.9473964814814815,0.09133333333333334,0.7131111111111111,0.7813216740786947,0.8108888888888889
severe,DRA-Inspect-AC,0.9597016666666667,0.03188888888888889,0.5468888888888889,0.6393020548153572,0.7575
severe,PatchCore-CF,0.9473964814814815,0.10566666666666666,0.699,0.7604506481741621,0.7966666666666666
severe,DRA-Inspect-CF,0.9597016666666667,0.015555555555555555,0.425,0.5356377811066237,0.7047222222222222
